Launch_Date,value
31/01/2008,453
29/02/2008,484
31/03/2008,487
30/04/2008,620
31/05/2008,825
30/06/2008,842
31/07/2008,1205
31/08/2008,1171
30/09/2008,722
31/10/2008,590
30/11/2008,438
31/12/2008,450
31/01/2009,503
28/02/2009,488
31/03/2009,593
30/04/2009,650
31/05/2009,1088
30/06/2009,1010
31/07/2009,1042
31/08/2009,1356
30/09/2009,825
31/10/2009,611
30/11/2009,582
31/12/2009,464
31/01/2010,453
28/02/2010,477
31/03/2010,600
30/04/2010,765
31/05/2010,1021
30/06/2010,972
31/07/2010,1081
31/08/2010,1077
30/09/2010,624
31/10/2010,657
30/11/2010,548
31/12/2010,442
31/01/2011,607
28/02/2011,652
31/03/2011,726
30/04/2011,1025
31/05/2011,748
30/06/2011,800
31/07/2011,965
31/08/2011,1045
30/09/2011,734
31/10/2011,611
30/11/2011,509
31/12/2011,452
31/01/2012,503
29/02/2012,442
31/03/2012,614
30/04/2012,569
31/05/2012,936
30/06/2012,715
31/07/2012,1145
31/08/2012,1207
30/09/2012,692
31/10/2012,589
30/11/2012,461
31/12/2012,483
31/01/2013,502
28/02/2013,448
31/03/2013,491
30/04/2013,611
31/05/2013,729
30/06/2013,893
31/07/2013,1448
31/08/2013,1128
30/09/2013,688
31/10/2013,544
30/11/2013,440
31/12/2013,409
31/01/2014,458
28/02/2014,434
31/03/2014,612
30/04/2014,679
31/05/2014,829
30/06/2014,974
31/07/2014,1232
31/08/2014,946
30/09/2014,745
31/10/2014,578
30/11/2014,449
31/12/2014,444
31/01/2015,440
28/02/2015,421
31/03/2015,521
30/04/2015,738
31/05/2015,773
30/06/2015,958
31/07/2015,1002
31/08/2015,1080
30/09/2015,745
31/10/2015,585
30/11/2015,506
31/12/2015,481
31/01/2016,477
29/02/2016,470
31/03/2016,572
30/04/2016,609
31/05/2016,864
30/06/2016,826
31/07/2016,1278
31/08/2016,1387
30/09/2016,694
31/10/2016,650
30/11/2016,524
31/12/2016,485
31/01/2017,430
28/02/2017,400
31/03/2017,602
30/04/2017,628
31/05/2017,901
30/06/2017,969
31/07/2017,1013
31/08/2017,1124
30/09/2017,629
31/10/2017,575
30/11/2017,454
31/12/2017,433
31/01/2018,520
28/02/2018,487
31/03/2018,498
30/04/2018,703
31/05/2018,890
30/06/2018,1006
31/07/2018,1260
31/08/2018,944
30/09/2018,687
31/10/2018,571
30/11/2018,480
31/12/2018,474
31/01/2019,523
28/02/2019,597
31/03/2019,672
30/04/2019,813
31/05/2019,779
30/06/2019,1024
31/07/2019,1227
31/08/2019,1059
30/09/2019,766
31/10/2019,616
30/11/2019,888
31/12/2019,875
31/01/2020,510
29/02/2020,453
31/03/2020,397
30/04/2020,429
31/05/2020,872
30/06/2020,985
31/07/2020,1228
31/08/2020,1163
30/09/2020,894
31/10/2020,570
30/11/2020,512
31/12/2020,474
